X,Y,fid,name,elev,type,description,fdd,fdc,id_colaborador
-66.20854,-23.336271,"4180",,"4092",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.47665,-23.46362,"4181",,"4004",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.05458,-22.247181,"4182",Guayatapoc,"4064",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.08301,-23.337112,"4183",,"4085",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.99238,-23.374209,"4184",,"4071",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.44079,-23.253424,"4185",,"4064",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.22066,-22.531931,"4186",,"4045",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.70454,-22.929229,"4187",,"4050",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.04744,-23.415363,"4188",,"4096",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.35329,-23.825217,"4189",,"4091",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.30596,-22.894756,"4190",,"4088",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.46203,-23.213331,"4191",,"4013",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.68757,-22.952544,"4192",,"4080",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.61483,-23.081617,"4193",,"4054",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.43162,-23.736665,"4194",,"4022",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.3525,-22.304752,"4195",,"4053",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.70127,-22.94593,"4196",,"4079",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.42003,-23.599312,"4197",,"4047",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.41651,-22.904381,"4198",Casayoc,"4012",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.56064,-22.691839,"4199",,"4060",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.41986,-23.752443,"4200",,"4094",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.55721,-22.789585,"4201",,"4066",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.03682,-28.17149,"4202",Alto,"4099",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.72809,-26.799281,"4203",Rincón Grande,"4097",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.89564,-26.43293,"4204",Ojo del Chusco,"4056",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.15773,-27.948442,"4205",Los Taros,"4017",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.21775,-27.740928,"4206",Bayo,"4079",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.60045,-26.315441,"4207",Morado,"4010",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.34893,-27.657877,"4208",Fraile,"4038",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.86296,-26.911278,"4209",San Buenaventura,"4090",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.53571,-26.728034,"4210",Bayo del Volcán,"4090",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.79232,-29.154945,"4211",Potrerillo,"4086",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.19659,-28.386265,"4212",Peña Negra,"4020",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.07202,-28.784312,"4213",,"4043",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.91752,-29.051396,"4214",Tolar,"4008",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.899,-28.211006,"4215",Mogote del Lindero Colorado,"4090",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.94611,-28.697065,"4216",,"4026",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.30882,-28.078435,"4217",,"4002",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.12403,-28.284285,"4218",,"4010",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.51528,-28.087412,"4219",,"4052",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.62265,-28.358449,"4220",,"4037",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.02217,-28.793104,"4221",,"4028",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.1352,-28.679379,"4222",Los Sapitos,"4098",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.89164,-28.698148,"4223",,"4042",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.09744,-28.992362,"4224",Del Cachiyuyal,"4087",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.99393,-30.811512,"4225",De las Puntas,"4092",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.34444,-31.854805,"4226",,"4069",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
